GrLivArea,BedroomAbvGr,Age,OverallQual,TotalBathrooms,GarageCars,TotalBsmtSF,SalePrice,Location_Blueste,Location_BrDale,Location_BrkSide,Location_ClearCr,Location_CollgCr,Location_Crawfor,Location_Edwards,Location_Gilbert,Location_IDOTRR,Location_MeadowV,Location_Mitchel,Location_NAmes,Location_NPkVill,Location_NWAmes,Location_NoRidge,Location_NridgHt,Location_OldTown,Location_SWISU,Location_Sawyer,Location_SawyerW,Location_Somerst,Location_StoneBr,Location_Timber,Location_Veenker
1710,3,23,7,3,2,856,208500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262,3,50,6,2,2,1262,181500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1786,3,25,7,3,2,920,223500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717,3,111,7,2,3,756,140000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2198,4,26,8,3,3,1145,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1362,1,33,5,2,2,796,143000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1694,3,22,8,3,2,1686,307000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2090,3,53,7,3,2,1107,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1774,2,95,7,2,2,952,129900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1077,2,87,5,2,1,991,118000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,3,61,5,2,1,1040,129500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2324,4,21,9,4,3,1175,345000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
912,2,64,5,2,1,912,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1494,3,20,7,2,3,1494,279500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1253,2,66,6,2,1,1253,157000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
854,2,97,7,1,2,832,132000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,2,56,6,2,2,1004,149000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1296,2,59,4,2,2,0,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1114,3,22,5,2,2,1114,159000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1339,3,68,5,1,1,1029,139000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2376,4,21,8,3,3,1158,325300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1108,3,96,7,1,1,637,139400,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1795,3,24,8,2,2,1777,230000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,3,50,5,2,2,1040,129900,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,3,58,5,2,1,1060,154000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1600,3,19,8,2,3,1566,256300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
900,3,75,5,1,2,900,134800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1704,3,19,8,3,3,1704,306000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1600,2,69,5,2,1,1484,207500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
